,Branch_ID,Branch_Name,Zone_Code,City_Code,Address_1,Address_2,Province_Name,Province_Number,Sub_Provincial_Code
94,E0,NAIKAP,BAGMA,KTM,NAIKAP,,Bagmati Province,Province 3,Bagmati 2
95,E1,DUWAKOT,BAGMA,KTM,DUWAKOT,,Bagmati Province,Province 3,Bagmati 2
96,E2,JEETPUR,PROV2,JEET,JEETPUR,,Madhesh Province,Province 2,Madhesh 4
97,E3,ILAM,MECHI,ILA,ILAM,,Koshi Province,Province 1,Koshi 4
98,85,URLABARI,MECHI,JHA,URLABARI,,Koshi Province,Province 1,Koshi 4
99,86,GAIGHAT,SAGAR,GAIGT,GAIGHAT,,Koshi Province,Province 1,Koshi 7
100,91,GAIDAKOT,SIR,SIR,GAIDAKOT,,Madhesh Province,Province 2,Madhesh 5
101,A1,DALDALE,LUMBI,NAW,DALDALE,,Lumbini Province,Province 5,Lumbini 2
102,79,TURMAKHAND,ACH,ACH,ACCHAM,,Sudurpaschim Province,Province 7,Sudurpaschim 1
103,74,PACHALJHARANA,KARNA,KOT,PACHALJHARANA,,Karnali Province,Province 6,Karnali 2
104,75,PALATA,KARNA,KOT,PALATA,,Karnali Province,Province 6,Karnali 2
105,82,KANDAGHARI,BAG,KTM,KANDAGHARI,,Bagmati Province,Province 3,Bagmati 1
106,65,LAMAHI,DAN,DAN,DANG,,Lumbini Province,Province 5,Lumbini 1
107,71,SAMMARIMAI,LUMBI,RUP,SAMMARIMAI,,Lumbini Province,Province 5,Lumbini 2
108,72,TILA,SETI,JUM,TILA,,Sudurpaschim Province,Province 7,Sudurpaschim 5
109,83,CHAPAGAUN,BAGMA,LPR,CHAPAGAUN,,Bagmati Province,Province 3,Bagmati 2
110,84,BHAISEPATI,BAGMA,LPR,BHAISEPATI,LALITPUR,Bagmati Province,Province 3,Bagmati 2
111,54,SIMARA,PAR,SIM,SIMARA,BARA,Madhesh Province,Province 2,Madhesh 3
112,D4,BIRATNAGAR (PUSHPALAL CHOWK),KOSHI,BTR,BIRATNAGAR (PUSHPALAL CHOWK),,Koshi Province,Province 1,Koshi 2
113,A6,CHANDRAUTA,LUMBI,KTU,CHANDRAUTA,,Lumbini Province,Province 5,Lumbini 2
114,53,LAKESIDE,GANDA,PHA,LAKESIDE,POKHARA,Gandaki Province,Province 4,Gandaki 1
115,A5,PANAUTI,BAGMA,KAV,PANAUTI,,Bagmati Province,Province 3,Bagmati 2
116,76,PANCHESWOR,MAHAK,BAI,PANCHESWOR,,Sudurpaschim Province,Province 7,Sudurpaschim 4
117,C3,KALIKANAGAR,LUMBI,BUT,KALIKANAGAR,,Lumbini Province,Province 5,Lumbini 2
118,C4,BIRAUTA,GANDA,PHA,BIRAUTA,,Gandaki Province,Province 4,Gandaki 1
119,C5,PAANCHKHAL,BAGMA,KAV,PAANCHKHAL,,Bagmati Province,Province 3,Bagmati 2
120,C6,KANCHANBARI,KOSHI,BTR,KANCHANBARI,,Koshi Province,Province 1,Koshi 2
121,C7,KAPAN,BAGMA,KTM,KAPAN,,Bagmati Province,Province 3,Bagmati 2
122,C8,WALING,GANDA,SYA,WALING,,Gandaki Province,Province 4,Gandaki 1
123,C9,KIRTIPUR,BAGMA,KTM,KIRTIPUR,,Bagmati Province,Province 3,Bagmati 2
