,Branch_ID,Branch_Name,Zone_Code,City_Code,Address_1,Address_2,Province_Name,Province_Number,Sub_Provincial_Code
258,Q0,GULARIYA,LUMBI,BYA,BARDIYA,NOT AVAILABLE,Lumbini Province,Province 5,Lumbini 2
259,Q3,GALKOT,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
260,P3,BARAHATHAWA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
261,P9,RAMGRAM,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
262,Q9,KANCHANPUR,BAGMA,SAP,KANCHANPUR,KANCHANPUR,Bagmati Province,Province 3,Bagmati 2
263,Q8,AMARGADHI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
264,P5,PHARSATIKAR,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
265,P8,KALAIYA,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
266,Q5,TAULIHAWA,BAGMA,KTM,TAULIHAWA,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
267,P6,BANGANGA,KTU,KTU,NOT AVAILABLE,NOT AVAILABLE,Koshi Province,Province 1,Koshi 3
268,Q6,JALESHWOR,PROV2,JAL,"MAHOTTARI DISTRICT, JALESHWOR MUNICIPALITY, W","MAHOTTARI DISTRICT, JALESHWOR MUNICIPALITY, W",Madhesh Province,Province 2,Madhesh 4
269,G6,SANKHU,BAGMA,KTM,SANKHU,,Bagmati Province,Province 3,Bagmati 2
270,I5,SALLAGHARI,BAGMA,KTM,NOT AVAILABLE,NOT AVAILABLE,Bagmati Province,Province 3,Bagmati 2
